Customer_ID,Retention_Strategy,Recommended_Strategy,Churn_Probability,Projected_Churn,Lifetime_Value
CUST_C4E1JS,Loyalty Program,VIP Treatment,0.97,0.8245,8920.6
CUST_1NE8EP,Email Campaign,Discounts,0.31,0.2852,610.95
CUST_LRFCSM,Email Campaign,Standard Communication,0.02,0.02,9866.87
CUST_6JSUBY,Discount,Standard Communication,0.29,0.29,3767.44
CUST_H67HOK,Email Campaign,Standard Communication,0.93,0.93,4578.0
CUST_62YSAJ,Loyalty Program,Discounts,0.46,0.4232,9535.35
CUST_JISDI8,Loyalty Program,VIP Treatment,0.78,0.663,7881.59
CUST_G0PMRR,Discount,Standard Communication,0.04,0.04,3027.69
CUST_X0GMUX,Loyalty Program,VIP Treatment,0.83,0.7054999999999999,6787.41
CUST_NRFQ4A,Loyalty Program,Loyalty Programs,0.08,0.07200000000000001,7136.64
CUST_EAJ4NJ,Loyalty Program,Discounts,0.4,0.36800000000000005,8417.69
CUST_24LC84,Email Campaign,Discounts,0.55,0.5060000000000001,4805.82
CUST_ZBFG2V,Loyalty Program,Loyalty Programs,0.29,0.261,6585.06
CUST_RX98ZW,Discount,Standard Communication,0.88,0.88,1458.06
CUST_ZKFC89,Email Campaign,Re-engagement Campaign,0.84,0.7392,2676.88
CUST_91FCWX,Discount,Re-engagement Campaign,0.16,0.1408,4737.78
CUST_PS024K,Loyalty Program,Discounts,0.41,0.3772,9648.88
CUST_4Z7H55,Discount,Re-engagement Campaign,0.85,0.748,2752.74
CUST_5ORFAU,Discount,Loyalty Programs,0.2,0.18000000000000002,2511.07
CUST_7PX3BJ,Email Campaign,Standard Communication,0.79,0.79,4099.22
CUST_3VQDGW,Loyalty Program,Standard Communication,0.12,0.12,6184.96
CUST_JVYE7J,Email Campaign,Re-engagement Campaign,0.26,0.2288,2298.62
CUST_ILC8J9,Loyalty Program,VIP Treatment,0.79,0.6715,7103.57
CUST_145ORS,Discount,VIP Treatment,0.96,0.816,8408.62
CUST_LNJENL,Discount,Standard Communication,0.21,0.21,5504.62
CUST_TQC9WL,Email Campaign,Discounts,0.34,0.3128,6919.74
CUST_MNG58M,Discount,Standard Communication,0.69,0.69,6143.79
CUST_1B0L6T,Email Campaign,Discounts,0.49,0.45080000000000003,7117.45
CUST_S3HWAD,Loyalty Program,Standard Communication,0.69,0.69,389.91
CUST_IJSU2E,Discount,Discounts,0.45,0.41400000000000003,9527.47
CUST_K57JH6,Discount,Standard Communication,0.81,0.81,5635.79
CUST_KDKJ44,Email Campaign,Discounts,0.33,0.30360000000000004,3550.8
CUST_CV93E1,Discount,Standard Communication,0.71,0.71,3781.18
CUST_S78ZA9,Discount,Standard Communication,0.14,0.14,446.33
CUST_RYU3NS,Email Campaign,Discounts,0.4,0.36800000000000005,2827.1
CUST_4SLX38,Email Campaign,Standard Communication,0.27,0.27,8912.66
CUST_NV0WIK,Loyalty Program,Discounts,0.41,0.3772,1139.88
CUST_PWRZHT,Discount,Standard Communication,0.67,0.67,4835.68
CUST_4PP3HJ,Loyalty Program,Standard Communication,0.89,0.89,3962.97
CUST_Y3BA1I,Discount,Re-engagement Campaign,0.21,0.1848,8329.06
CUST_95DU2C,Loyalty Program,VIP Treatment,0.8,0.68,7991.59
CUST_TSWDZU,Loyalty Program,Re-engagement Campaign,0.19,0.16720000000000002,3675.8
CUST_30BZFI,Email Campaign,Discounts,0.41,0.3772,7043.85
CUST_9A0C0X,Loyalty Program,Standard Communication,0.88,0.88,5537.92
CUST_31ZQSS,Loyalty Program,Standard Communication,0.95,0.95,6545.11
CUST_1EQND6,Loyalty Program,Discounts,0.45,0.41400000000000003,6692.98
CUST_RC76B7,Loyalty Program,Discounts,0.57,0.5244,6941.45
CUST_GBWOHJ,Email Campaign,Standard Communication,0.07,0.07,9387.23
CUST_MCBWC0,Loyalty Program,Re-engagement Campaign,0.61,0.5367999999999999,6452.52
CUST_L27JCO,Discount,Standard Communication,0.83,0.83,3454.83
CUST_13CS70,Email Campaign,Standard Communication,0.09,0.09,5413.19
CUST_31DH8I,Loyalty Program,VIP Treatment,0.73,0.6204999999999999,8073.1
CUST_1FD5ZE,Discount,Standard Communication,0.69,0.69,3487.68
CUST_7SJM60,Discount,Discounts,0.56,0.5152000000000001,4279.31
CUST_JSVKDS,Loyalty Program,Loyalty Programs,0.03,0.027,670.59
CUST_00UZGW,Loyalty Program,Discounts,0.43,0.3956,7068.69
CUST_XFBREZ,Discount,Discounts,0.3,0.276,3883.56
CUST_3OPCNN,Discount,Discounts,0.46,0.4232,3372.85
CUST_020F32,Loyalty Program,Standard Communication,0.22,0.22,7583.36
CUST_95Y1XQ,Email Campaign,Re-engagement Campaign,0.25,0.22,5815.8
CUST_Q4DV0K,Loyalty Program,Discounts,0.49,0.45080000000000003,8439.04
CUST_81SKOU,Loyalty Program,VIP Treatment,0.76,0.646,8297.65
CUST_9WVU5Y,Loyalty Program,Standard Communication,0.11,0.11,603.03
CUST_PB1OVW,Loyalty Program,Standard Communication,0.91,0.91,5506.85
CUST_5VCKSQ,Discount,Discounts,0.42,0.3864,1692.37
CUST_LN9YPE,Discount,Re-engagement Campaign,0.9,0.792,823.54
CUST_7DTNB2,Loyalty Program,Discounts,0.43,0.3956,1617.57
CUST_OSKTOO,Email Campaign,VIP Treatment,0.93,0.7905,6916.31
CUST_45BF2K,Email Campaign,VIP Treatment,0.81,0.6885,7057.8
CUST_G8HGAR,Email Campaign,Discounts,0.49,0.45080000000000003,5797.36
CUST_44Y0N8,Loyalty Program,Standard Communication,0.84,0.84,631.1
CUST_8XSTJQ,Discount,Standard Communication,0.84,0.84,1430.23
CUST_SAJYNE,Email Campaign,Discounts,0.38,0.3496,3740.45
CUST_UMQ00W,Discount,Standard Communication,0.79,0.79,4352.52
CUST_U089M1,Discount,VIP Treatment,0.76,0.646,7665.24
CUST_JYME30,Loyalty Program,Standard Communication,0.75,0.75,4791.55
CUST_9J6SVK,Loyalty Program,Standard Communication,0.65,0.65,784.75
CUST_8DARPI,Email Campaign,Standard Communication,0.02,0.02,8839.6
CUST_D9OR2J,Email Campaign,VIP Treatment,0.95,0.8075,8220.45
CUST_N4958C,Discount,Discounts,0.52,0.47840000000000005,8029.05
CUST_9PD3C7,Email Campaign,Re-engagement Campaign,0.74,0.6512,3530.01
CUST_EXY09B,Discount,Standard Communication,0.77,0.77,839.68
CUST_DW8B61,Loyalty Program,Standard Communication,0.95,0.95,6029.86
CUST_MPM0NH,Loyalty Program,Discounts,0.56,0.5152000000000001,5333.31
CUST_NAN3JH,Discount,Discounts,0.57,0.5244,4885.83
CUST_QQZH8D,Loyalty Program,VIP Treatment,0.68,0.5780000000000001,7251.82
CUST_DJN4ZX,Discount,Standard Communication,0.26,0.26,2446.79
CUST_ZRD7SP,Loyalty Program,Standard Communication,0.62,0.62,1084.62
CUST_VG7616,Loyalty Program,Standard Communication,0.99,0.99,2884.47
CUST_2Q6XS2,Discount,Standard Communication,0.78,0.78,4829.85
CUST_ZVAIFE,Discount,Discounts,0.3,0.276,9407.24
CUST_A8XMJS,Email Campaign,Discounts,0.45,0.41400000000000003,389.99
CUST_K1H38A,Email Campaign,Standard Communication,0.09,0.09,3440.67
CUST_AAOVHG,Discount,Discounts,0.52,0.47840000000000005,2519.9
CUST_9INVHS,Email Campaign,Discounts,0.34,0.3128,3554.12
CUST_LMIKED,Email Campaign,Standard Communication,0.72,0.72,994.86
CUST_GJUD5L,Discount,Standard Communication,0.08,0.08,7171.25
CUST_IDXN1A,Email Campaign,Re-engagement Campaign,0.07,0.06160000000000001,3557.35
CUST_YRKL1S,Email Campaign,Standard Communication,0.27,0.27,2378.88
CUST_SD9WV5,Loyalty Program,Standard Communication,0.99,0.99,5928.81
CUST_G1MPFC,Email Campaign,Standard Communication,0.71,0.71,6077.36
CUST_90K7NP,Email Campaign,Standard Communication,0.22,0.22,2083.86
CUST_WT5L73,Loyalty Program,Discounts,0.47,0.4324,2788.1
CUST_ZEAN0I,Email Campaign,Standard Communication,0.82,0.82,5422.84
CUST_71WBXA,Email Campaign,Standard Communication,0.05,0.05,8056.48
CUST_N6CJJL,Discount,Discounts,0.38,0.3496,1552.31
CUST_LAC7UZ,Loyalty Program,Discounts,0.53,0.48760000000000003,9420.35
CUST_UJJQMF,Loyalty Program,Standard Communication,0.76,0.76,498.13
CUST_7U7IU2,Loyalty Program,Standard Communication,0.17,0.17,4933.66
CUST_B7H8XQ,Discount,Discounts,0.38,0.3496,5326.26
CUST_UTAHJ0,Email Campaign,Standard Communication,0.78,0.78,2751.06
CUST_IZP75Z,Loyalty Program,Loyalty Programs,0.03,0.027,2724.98
CUST_7H9NXQ,Discount,Discounts,0.36,0.3312,1968.35
CUST_R3HM0K,Loyalty Program,Standard Communication,0.14,0.14,1203.55
CUST_G22I8W,Email Campaign,Discounts,0.4,0.36800000000000005,4202.08
CUST_K6M50D,Discount,Standard Communication,0.67,0.67,4678.8
CUST_GIX4L7,Email Campaign,Discounts,0.38,0.3496,746.9
CUST_36BXV1,Discount,Re-engagement Campaign,0.12,0.1056,750.99
CUST_TH0NNN,Discount,Discounts,0.53,0.48760000000000003,6518.22
CUST_1PZ4AQ,Loyalty Program,Standard Communication,0.64,0.64,6662.91
CUST_C544ZF,Loyalty Program,Discounts,0.35,0.322,8167.19
CUST_JMLC09,Loyalty Program,Re-engagement Campaign,0.84,0.7392,788.86
CUST_XHYZ0T,Discount,Standard Communication,0.78,0.78,2591.74
CUST_9VKSU1,Email Campaign,Standard Communication,0.15,0.15,8071.3
CUST_OOA1C2,Loyalty Program,Discounts,0.53,0.48760000000000003,7187.23
CUST_BX67GU,Discount,Standard Communication,0.2,0.2,1009.53
CUST_806642,Loyalty Program,Standard Communication,0.71,0.71,3815.27
CUST_0U2JCM,Discount,Re-engagement Campaign,0.21,0.1848,652.78
CUST_UJQ7BY,Email Campaign,Discounts,0.34,0.3128,8524.3
CUST_HARC9S,Discount,VIP Treatment,0.9,0.765,8169.46
CUST_0SK71G,Email Campaign,Loyalty Programs,0.29,0.261,2428.48
CUST_EJZW61,Discount,Discounts,0.53,0.48760000000000003,4716.52
CUST_9PR1QH,Loyalty Program,Standard Communication,0.94,0.94,1212.62
CUST_2YSLLX,Loyalty Program,Standard Communication,0.29,0.29,6321.86
CUST_OXWE5W,Discount,Standard Communication,0.9,0.9,1269.7
CUST_56UU2N,Email Campaign,Re-engagement Campaign,0.79,0.6952,6079.73
CUST_CF4CUF,Loyalty Program,Discounts,0.54,0.4968000000000001,5670.11
CUST_491QO0,Loyalty Program,Discounts,0.38,0.3496,5142.59
CUST_3QTHQB,Discount,Standard Communication,0.13,0.13,3389.09
CUST_WJFJNH,Loyalty Program,Standard Communication,0.02,0.02,6274.6
CUST_Z99NNL,Discount,Standard Communication,0.97,0.97,859.83
CUST_BNKCTZ,Email Campaign,Standard Communication,0.61,0.61,675.61
CUST_9GZ4SC,Loyalty Program,Standard Communication,0.87,0.87,338.85
CUST_HCRD9G,Loyalty Program,Standard Communication,0.99,0.99,2302.36
CUST_B1GH1A,Email Campaign,Standard Communication,0.17,0.17,2871.38
CUST_NOF90Q,Discount,VIP Treatment,0.72,0.612,9685.04
CUST_UVDJ02,Email Campaign,Re-engagement Campaign,0.19,0.16720000000000002,6050.39
CUST_V9CKUK,Email Campaign,Discounts,0.4,0.36800000000000005,8464.27
CUST_FXY03O,Loyalty Program,Standard Communication,0.02,0.02,4244.43
CUST_S4VDVW,Discount,Discounts,0.43,0.3956,3425.05
CUST_X28O3U,Discount,VIP Treatment,0.76,0.646,9242.33
CUST_BQJ5V9,Discount,Standard Communication,0.22,0.22,3363.17
CUST_ZWZXDA,Loyalty Program,Standard Communication,0.06,0.06,7642.99
CUST_TSG05H,Loyalty Program,Standard Communication,0.66,0.66,5273.17
CUST_UGZG54,Discount,Discounts,0.48,0.4416,1235.22
CUST_6OROZI,Loyalty Program,Standard Communication,0.28,0.28,8584.94
CUST_CAD4BU,Loyalty Program,Standard Communication,1.0,1.0,4734.47
CUST_O4O3P8,Email Campaign,Re-engagement Campaign,0.67,0.5896,420.14
CUST_IKI1Z8,Discount,VIP Treatment,0.97,0.8245,9798.34
CUST_SWT9D4,Email Campaign,VIP Treatment,0.88,0.748,9370.33
CUST_WNLRBP,Email Campaign,Standard Communication,0.67,0.67,3441.61
CUST_YN9EO1,Loyalty Program,Discounts,0.56,0.5152000000000001,8612.0
CUST_60TWF3,Loyalty Program,Standard Communication,0.2,0.2,8855.45
CUST_7LNE2A,Discount,Loyalty Programs,0.05,0.045000000000000005,4733.74
CUST_MLV0XJ,Email Campaign,Standard Communication,0.81,0.81,3716.03
CUST_Q57DSQ,Email Campaign,Discounts,0.41,0.3772,3079.18
CUST_P6UNOP,Loyalty Program,Loyalty Programs,0.18,0.162,7717.86
CUST_R3K54N,Email Campaign,VIP Treatment,0.72,0.612,9300.81
CUST_7DC6ZV,Discount,Re-engagement Campaign,0.8,0.7040000000000001,652.52
CUST_M4SFTI,Loyalty Program,Standard Communication,0.94,0.94,5460.29
CUST_BD5K0T,Discount,VIP Treatment,0.84,0.714,9866.25
CUST_ZNOE1W,Loyalty Program,Discounts,0.36,0.3312,7606.27
CUST_75W7KS,Email Campaign,Standard Communication,0.73,0.73,5890.75
CUST_O1SNIO,Email Campaign,Standard Communication,0.06,0.06,2389.88
CUST_2GYCBB,Discount,Standard Communication,0.19,0.19,5677.67
CUST_S665HP,Discount,VIP Treatment,0.83,0.7054999999999999,8942.35
CUST_GTD6Q9,Loyalty Program,Standard Communication,0.77,0.77,4872.8
CUST_BEUC7A,Email Campaign,Standard Communication,0.92,0.92,4440.15
CUST_5UFT0M,Loyalty Program,Loyalty Programs,0.03,0.027,3878.17
CUST_BG3R2B,Email Campaign,Standard Communication,0.81,0.81,1031.61
CUST_O819CA,Loyalty Program,Discounts,0.31,0.2852,4659.61
CUST_V5HDIH,Email Campaign,Discounts,0.31,0.2852,7516.29
CUST_US67C5,Loyalty Program,Standard Communication,0.06,0.06,258.06
CUST_NYTH9Y,Loyalty Program,Discounts,0.58,0.5336,721.37
CUST_KJ9A5O,Discount,VIP Treatment,0.73,0.6204999999999999,9560.36
CUST_FJBSP6,Email Campaign,Standard Communication,0.94,0.94,6253.68
CUST_GUUC4E,Discount,Standard Communication,0.24,0.24,2030.63
CUST_GWM7WN,Discount,Standard Communication,0.17,0.17,8792.77
CUST_BO88ZB,Discount,Re-engagement Campaign,0.25,0.22,9803.37
CUST_70GE6M,Email Campaign,Re-engagement Campaign,0.98,0.8623999999999999,5879.83
CUST_LXHC9X,Email Campaign,Standard Communication,0.98,0.98,2374.81
CUST_GAN7U0,Discount,Re-engagement Campaign,0.01,0.0088,5900.18
CUST_P1RDXR,Email Campaign,Discounts,0.47,0.4324,100.16
CUST_Y433R6,Discount,Re-engagement Campaign,0.23,0.2024,925.38
CUST_IZHXJ2,Loyalty Program,Standard Communication,0.84,0.84,3257.02
CUST_D9ASDE,Loyalty Program,Loyalty Programs,0.05,0.045000000000000005,2722.28
CUST_9J64ML,Email Campaign,Standard Communication,0.26,0.26,2797.61
CUST_UJVFK9,Loyalty Program,Discounts,0.32,0.2944,1810.68
CUST_LDQ7FM,Discount,VIP Treatment,0.67,0.5695,7700.89
CUST_Y5AU7X,Loyalty Program,VIP Treatment,0.87,0.7394999999999999,8585.53
CUST_M5SSL8,Discount,VIP Treatment,0.9,0.765,9612.49
CUST_WSUKIZ,Loyalty Program,Standard Communication,0.71,0.71,5171.69
CUST_DX8IY3,Discount,VIP Treatment,0.71,0.6034999999999999,8099.0
CUST_ZQXUUS,Email Campaign,Standard Communication,0.82,0.82,484.12
CUST_OA9VSY,Discount,Discounts,0.52,0.47840000000000005,4277.83
CUST_55EM9F,Email Campaign,Standard Communication,0.62,0.62,3447.92
CUST_9DOZZ2,Discount,Standard Communication,0.02,0.02,5178.94
CUST_NYEMU7,Email Campaign,Discounts,0.46,0.4232,7207.57
CUST_99UW6R,Discount,Re-engagement Campaign,0.83,0.7303999999999999,1811.37
CUST_DB73Z1,Discount,Standard Communication,0.01,0.01,3234.65
CUST_Q4BAFI,Email Campaign,Discounts,0.41,0.3772,5769.04
CUST_447Z72,Loyalty Program,Standard Communication,0.02,0.02,4596.07
CUST_YSE2V8,Email Campaign,Re-engagement Campaign,0.0,0.0,8263.23
CUST_H1MU7Q,Discount,VIP Treatment,0.98,0.833,9876.27
CUST_XSCKOT,Discount,Re-engagement Campaign,0.13,0.1144,6342.32
CUST_4J9OB0,Loyalty Program,Standard Communication,0.16,0.16,896.31
CUST_3FF21G,Loyalty Program,Loyalty Programs,0.21,0.189,8823.67
CUST_S6CQW4,Discount,Standard Communication,0.24,0.24,4743.14
CUST_CW9FYL,Email Campaign,Standard Communication,0.86,0.86,2977.42
CUST_VV1OL3,Email Campaign,Discounts,0.39,0.3588,9006.35
CUST_V71ZT8,Loyalty Program,VIP Treatment,0.82,0.697,9147.92
CUST_4H4E1N,Loyalty Program,Standard Communication,0.91,0.91,5757.5
CUST_OG9G39,Loyalty Program,Discounts,0.48,0.4416,4251.62
CUST_0NGDZT,Loyalty Program,Standard Communication,0.27,0.27,6582.3
CUST_1BVE8A,Email Campaign,Standard Communication,0.93,0.93,3799.27
CUST_HUFWQC,Discount,Standard Communication,0.01,0.01,7425.4
CUST_NC9Q10,Email Campaign,Standard Communication,0.98,0.98,181.62
CUST_540B2L,Email Campaign,Discounts,0.37,0.34040000000000004,7245.34
CUST_RAJ5Z4,Loyalty Program,Standard Communication,0.05,0.05,8795.35
CUST_STWBA4,Loyalty Program,Discounts,0.41,0.3772,9412.71
CUST_VYWO5B,Loyalty Program,Discounts,0.42,0.3864,3569.19
CUST_7DODMI,Discount,Standard Communication,0.92,0.92,4890.24
CUST_8Y4SDB,Email Campaign,VIP Treatment,0.7,0.595,9002.66
CUST_NXPCA3,Loyalty Program,Standard Communication,0.25,0.25,3410.58
CUST_PZ3DGY,Email Campaign,Standard Communication,0.77,0.77,5866.16
CUST_WV2MUE,Loyalty Program,VIP Treatment,0.95,0.8075,9306.81
CUST_PJIVHB,Email Campaign,VIP Treatment,0.61,0.5185,8955.3
CUST_GN5KM7,Loyalty Program,Discounts,0.58,0.5336,5560.43
CUST_AWZ9LL,Email Campaign,Re-engagement Campaign,0.82,0.7215999999999999,2379.88
CUST_C1G5AI,Discount,Standard Communication,0.82,0.82,700.77
CUST_95ADK0,Discount,VIP Treatment,0.79,0.6715,7071.86
CUST_GODXK6,Loyalty Program,Discounts,0.33,0.30360000000000004,7171.96
CUST_0AQMEI,Loyalty Program,Standard Communication,0.73,0.73,2206.13
CUST_LNGOW1,Email Campaign,Standard Communication,0.95,0.95,3814.79
CUST_DW8Q29,Discount,Loyalty Programs,0.28,0.25200000000000006,4866.82
CUST_G10XTC,Loyalty Program,Re-engagement Campaign,0.63,0.5544,1848.59
CUST_OS9PZU,Email Campaign,Standard Communication,0.26,0.26,8375.5
CUST_PMJEOH,Email Campaign,Re-engagement Campaign,0.73,0.6424,1214.71
CUST_NVZM0X,Loyalty Program,Re-engagement Campaign,0.08,0.0704,5137.96
CUST_VO5I8S,Email Campaign,Standard Communication,0.99,0.99,4034.9
CUST_QI2ET6,Email Campaign,Discounts,0.52,0.47840000000000005,6070.7
CUST_KPC55X,Email Campaign,VIP Treatment,1.0,0.85,6980.14
CUST_E8PFZQ,Loyalty Program,VIP Treatment,0.93,0.7905,9633.01
CUST_WX0NM8,Discount,Re-engagement Campaign,0.73,0.6424,5859.54
CUST_I0MT85,Discount,Standard Communication,0.78,0.78,569.47
CUST_LCPY5K,Discount,Discounts,0.56,0.5152000000000001,2818.21
CUST_OTPCJO,Discount,Standard Communication,0.75,0.75,4093.22
CUST_VSR7GQ,Loyalty Program,Re-engagement Campaign,0.23,0.2024,5500.22
CUST_20IIC8,Loyalty Program,Standard Communication,0.28,0.28,3142.42
CUST_UFT3BR,Email Campaign,Re-engagement Campaign,0.27,0.2376,6975.65
CUST_HLY86M,Email Campaign,Standard Communication,0.97,0.97,1677.26
CUST_EFYNBN,Discount,VIP Treatment,0.78,0.663,9319.84
CUST_535IX2,Email Campaign,Standard Communication,0.73,0.73,501.67
CUST_BKYWR6,Email Campaign,Standard Communication,0.6,0.6,1879.8
CUST_OF8S86,Loyalty Program,Discounts,0.45,0.41400000000000003,2884.6
CUST_ORMZEA,Email Campaign,Discounts,0.54,0.4968000000000001,2414.37
CUST_6Y3X99,Email Campaign,Standard Communication,0.19,0.19,2386.79
CUST_W813Z7,Loyalty Program,Discounts,0.42,0.3864,6082.84
CUST_MZ9760,Email Campaign,Discounts,0.51,0.4692,1852.24
CUST_4U31AD,Discount,Discounts,0.43,0.3956,803.13
CUST_MBRRIJ,Loyalty Program,Standard Communication,0.69,0.69,5444.94
CUST_P1MTCL,Loyalty Program,VIP Treatment,0.74,0.629,9315.14
CUST_Q4EYYA,Loyalty Program,VIP Treatment,0.74,0.629,7964.76
CUST_89HAOC,Discount,VIP Treatment,0.92,0.782,9816.19
CUST_D8X5LU,Email Campaign,Discounts,0.42,0.3864,3832.75
CUST_1ZKX2L,Discount,Loyalty Programs,0.24,0.216,6980.49
CUST_HNKWIR,Email Campaign,Discounts,0.31,0.2852,697.09
CUST_RI9W17,Email Campaign,Discounts,0.46,0.4232,9530.41
CUST_SQ3L9Z,Loyalty Program,Discounts,0.44,0.4048,7321.89
CUST_HRZZZW,Discount,Standard Communication,0.0,0.0,7553.07
CUST_P45EFT,Email Campaign,Discounts,0.32,0.2944,3856.52
CUST_GBSNDK,Email Campaign,Standard Communication,0.01,0.01,5061.91
CUST_BR4XDH,Email Campaign,Discounts,0.49,0.45080000000000003,8271.95
CUST_S1POUI,Email Campaign,Re-engagement Campaign,0.94,0.8271999999999999,5779.19
CUST_LMB24Z,Discount,Standard Communication,0.81,0.81,2750.06
CUST_9SFED9,Email Campaign,Standard Communication,0.85,0.85,6041.18
CUST_YQ64IH,Email Campaign,Standard Communication,0.25,0.25,6098.87
CUST_F91SV4,Email Campaign,Standard Communication,0.07,0.07,7907.29
CUST_7L9Q4T,Email Campaign,Standard Communication,0.02,0.02,662.06
CUST_ZT9KUR,Discount,Standard Communication,0.01,0.01,4522.92
CUST_4TR9DG,Email Campaign,VIP Treatment,0.76,0.646,8699.38
CUST_KUF6OZ,Loyalty Program,Standard Communication,0.18,0.18,4696.75
CUST_D6734P,Email Campaign,Discounts,0.53,0.48760000000000003,1824.92
CUST_7OY3LG,Discount,Discounts,0.34,0.3128,4419.75
CUST_MUSYG7,Loyalty Program,Standard Communication,0.1,0.1,7495.36
CUST_HVZNU4,Discount,VIP Treatment,0.83,0.7054999999999999,6977.41
CUST_N1SEL0,Discount,Re-engagement Campaign,0.12,0.1056,4848.28
CUST_OLXH7F,Email Campaign,Standard Communication,0.87,0.87,4940.41
CUST_TSH8EW,Discount,VIP Treatment,0.86,0.731,7586.89
CUST_LSV4K6,Discount,VIP Treatment,0.78,0.663,7457.82
CUST_ZQXWS2,Email Campaign,Re-engagement Campaign,0.72,0.6335999999999999,6539.78
CUST_3U6CEQ,Loyalty Program,Re-engagement Campaign,0.14,0.12320000000000002,7666.01
CUST_UBHC5C,Discount,Standard Communication,0.12,0.12,7152.67
CUST_3X3JCS,Loyalty Program,Re-engagement Campaign,0.29,0.2552,2658.15
CUST_5TPOKU,Email Campaign,Standard Communication,0.81,0.81,2981.12
CUST_4CV5C3,Discount,Discounts,0.41,0.3772,197.53
CUST_QTNWP8,Email Campaign,Standard Communication,0.9,0.9,1990.13
CUST_TRHDDD,Discount,Discounts,0.34,0.3128,8781.4
CUST_LHXB6G,Loyalty Program,Standard Communication,0.87,0.87,951.0
CUST_ZPXJCV,Loyalty Program,Standard Communication,0.7,0.7,2357.62
CUST_ZHWAJA,Email Campaign,Discounts,0.5,0.46,9068.39
CUST_ABFZB3,Discount,Standard Communication,0.8,0.8,6258.61
CUST_EDCQYY,Discount,Re-engagement Campaign,0.09,0.07919999999999999,8243.89
CUST_57OYMH,Discount,Discounts,0.46,0.4232,2554.5
CUST_U1KPQO,Email Campaign,VIP Treatment,0.96,0.816,9378.38
CUST_TNTX45,Email Campaign,Discounts,0.38,0.3496,6553.22
CUST_MI9LNB,Email Campaign,Loyalty Programs,0.17,0.15300000000000002,8220.01
CUST_FIK4A2,Loyalty Program,Discounts,0.33,0.30360000000000004,4903.74
CUST_OYK3H2,Email Campaign,Discounts,0.39,0.3588,1094.26
CUST_1P68K5,Loyalty Program,Re-engagement Campaign,0.74,0.6512,4287.6
CUST_HXGC9I,Email Campaign,Standard Communication,0.24,0.24,2356.1
CUST_EGRRL0,Discount,VIP Treatment,0.97,0.8245,7815.46
CUST_ISKVGJ,Email Campaign,Discounts,0.51,0.4692,2195.62
CUST_DZ4YGB,Discount,Loyalty Programs,0.23,0.20700000000000002,2655.81
CUST_QRSAFP,Loyalty Program,VIP Treatment,0.74,0.629,8125.33
CUST_CF8B21,Discount,Re-engagement Campaign,0.28,0.24640000000000004,9803.03
CUST_OXT2ES,Email Campaign,Re-engagement Campaign,0.95,0.836,2668.14
CUST_3OGBOW,Loyalty Program,Standard Communication,0.14,0.14,9897.35
CUST_WZ563N,Email Campaign,Standard Communication,0.08,0.08,1996.8
CUST_450B4G,Loyalty Program,Discounts,0.44,0.4048,4603.59
CUST_084OP1,Discount,Discounts,0.5,0.46,6513.51
CUST_2RDQXH,Email Campaign,Discounts,0.3,0.276,4212.11
CUST_0MWK3C,Discount,Standard Communication,0.8,0.8,6633.08
CUST_P28C0P,Loyalty Program,Discounts,0.37,0.34040000000000004,7876.44
CUST_JFP8IC,Email Campaign,Standard Communication,0.75,0.75,137.2
CUST_57L5US,Discount,Discounts,0.5,0.46,4398.96
CUST_C7UNBK,Email Campaign,Standard Communication,0.65,0.65,3318.27
CUST_WYQ1NO,Loyalty Program,Standard Communication,0.11,0.11,532.54
CUST_P5T9ZV,Email Campaign,Discounts,0.49,0.45080000000000003,8506.77
CUST_WFK637,Email Campaign,Standard Communication,0.9,0.9,2857.19
CUST_92VOAD,Email Campaign,Re-engagement Campaign,0.86,0.7568,1267.79
CUST_13OH0V,Loyalty Program,VIP Treatment,0.69,0.5864999999999999,7951.56
CUST_47JK4F,Loyalty Program,Standard Communication,0.96,0.96,571.94
CUST_3BB6FR,Discount,Discounts,0.37,0.34040000000000004,3376.09
CUST_C5T575,Discount,Standard Communication,0.12,0.12,7607.62
CUST_2RPFR6,Discount,Discounts,0.46,0.4232,164.51
CUST_K4ZSM7,Loyalty Program,VIP Treatment,0.8,0.68,7511.68
CUST_HX1O1E,Discount,VIP Treatment,0.77,0.6545,9043.13
CUST_M10UEN,Loyalty Program,Standard Communication,0.06,0.06,4474.86
CUST_PRONHI,Email Campaign,Discounts,0.46,0.4232,4897.87
CUST_6Z78N9,Discount,Discounts,0.4,0.36800000000000005,8688.63
CUST_BCYLUW,Email Campaign,Discounts,0.48,0.4416,9328.41
CUST_XY8U9Q,Email Campaign,Standard Communication,0.08,0.08,9217.39
CUST_I2T2JQ,Loyalty Program,Standard Communication,0.12,0.12,9612.65
CUST_BMRJ21,Loyalty Program,Discounts,0.44,0.4048,6695.75
CUST_4GA2I3,Loyalty Program,Standard Communication,0.17,0.17,2666.45
CUST_451N6C,Loyalty Program,Standard Communication,0.83,0.83,4499.73
CUST_UB9JXV,Loyalty Program,Standard Communication,0.74,0.74,5364.43
CUST_1HOD2S,Discount,Discounts,0.58,0.5336,8867.69
CUST_8XLCJ6,Email Campaign,Discounts,0.32,0.2944,3997.49
CUST_GSWWKR,Loyalty Program,Discounts,0.52,0.47840000000000005,1783.77
CUST_2H67TH,Discount,Re-engagement Campaign,0.09,0.07919999999999999,2518.54
